City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Yarmouth,US,41.7057,-70.2286,66.61,61,0,9.22,clear sky
288,Wegorzewo,PL,54.2157,21.7372,51.71,91,2,5.66,clear sky
289,Berlevag,NO,70.8578,29.0864,42.6,87,100,9.22,overcast clouds
290,Teguise,ES,29.0605,-13.564,66.42,73,20,18.41,few clouds
291,Eureka,US,40.8021,-124.1637,66.67,90,78,8.43,broken clouds
292,Kavieng,PG,-2.5744,150.7967,82.76,69,42,5.23,scattered clouds
293,Walvis Bay,NA,-22.9575,14.5053,72.55,23,100,9.22,overcast clouds
294,Port Lincoln,AU,-34.7333,135.8667,53.83,64,73,17.11,broken clouds
295,Guanica,PR,17.9716,-66.908,85.6,72,69,12.03,broken clouds
296,Prieska,ZA,-29.6641,22.7474,55.2,35,0,4.97,clear sky
297,Salinopolis,BR,-0.6136,-47.3561,78.57,83,89,9.37,overcast clouds
298,Luganville,VU,-15.5333,167.1667,81.97,75,72,13.58,broken clouds
299,Norman Wells,CA,65.282,-126.8329,48.24,61,75,4.61,broken clouds
300,Batagay-Alyta,RU,67.8006,130.4114,63.28,49,66,2.73,broken clouds
301,Panjab,AF,34.388,67.0233,49.42,50,0,4.18,clear sky
302,Mecca,SA,21.4267,39.8261,90.36,18,0,4.88,clear sky
303,Mosjoen,NO,65.836,13.1908,41.81,78,96,2.82,overcast clouds
304,Igarka,RU,67.4667,86.5833,32.61,66,47,9.13,scattered clouds
305,Port-Cartier,CA,50.0334,-66.8654,53.82,71,79,7.16,broken clouds
306,Maihar,IN,24.2667,80.75,90.93,14,83,3.69,broken clouds
307,Nabire,ID,-3.3667,135.4833,76.75,81,8,1.63,clear sky
308,Port Pirie,AU,-33.1833,138.0167,52.54,73,14,12.59,few clouds
309,Bambanglipuro,ID,-7.95,110.2833,75.69,90,86,3.49,overcast clouds
310,Ingersoll,CA,43.0334,-80.883,61.29,83,97,7.18,overcast clouds
311,Arraial Do Cabo,BR,-22.9661,-42.0278,68.94,64,10,16.28,clear sky
312,Komsomolets,KZ,53.7453,62.0708,44.38,94,89,4.25,overcast clouds
313,Winchester,GB,51.0651,-1.3187,56.28,94,75,5.75,broken clouds
314,Gabu,GW,12.2833,-14.2167,78.1,80,94,8.43,overcast clouds
315,Mahebourg,MU,-20.4081,57.7,71.89,88,75,9.22,light intensity shower rain
316,Concordia,AR,-31.393,-58.0209,56.79,93,100,3.0,overcast clouds
317,Bairiki,KI,1.3292,172.9752,86.0,70,20,5.75,few clouds
318,Maltahohe,NA,-24.8333,16.9833,52.02,33,100,10.69,overcast clouds
319,Rebrikha,RU,53.0733,82.3408,44.87,79,95,5.57,overcast clouds
320,Hami,CN,42.8,93.45,69.15,23,0,14.32,clear sky
321,Mangai,CD,-4.05,19.5333,71.55,60,4,2.04,clear sky
322,Mahibadhoo,MV,3.7833,72.9667,82.98,73,49,11.48,scattered clouds
323,Shamary,RU,57.3434,58.2199,49.32,94,100,5.23,overcast clouds
324,Northam,GB,51.0333,-4.2167,54.66,97,89,2.82,overcast clouds
325,Bima,ID,-8.4667,118.7167,76.26,92,61,3.02,broken clouds
326,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,5.75,broken clouds
327,Filadelfia,US,39.9523,-75.1638,78.69,40,20,5.99,few clouds
328,Shingu,JP,33.7333,135.9833,65.73,97,100,18.34,light rain
329,Kailua,US,21.4022,-157.7394,85.98,70,100,11.5,overcast clouds
330,Reidsville,US,36.3549,-79.6645,78.49,57,0,0.0,clear sky
331,Krishnanagar,IN,23.4,88.5,82.94,82,46,12.86,scattered clouds
332,Pochutla,MX,15.7432,-96.4661,84.02,71,98,7.27,overcast clouds
333,Manitowoc,US,44.0667,-87.8001,60.69,95,100,3.44,overcast clouds
334,Pangnirtung,CA,66.1451,-65.7125,37.9,87,47,0.94,scattered clouds
335,Luban,PL,51.1201,15.2877,68.02,69,89,5.7,overcast clouds
336,Formosa,AR,-26.1775,-58.1781,73.38,88,0,1.14,light rain
337,Udachnyy,RU,66.4167,112.4,46.45,75,100,11.03,overcast clouds
338,Sambava,MG,-14.2667,50.1667,68.54,81,4,9.08,clear sky
339,Tukrah,LY,32.5341,20.5791,73.87,75,0,2.26,clear sky
340,Taldan,RU,53.6667,124.8,65.82,50,10,4.27,clear sky
341,Buraydah,SA,26.326,43.975,81.05,8,14,4.85,few clouds
342,Grenada,ES,37.1882,-3.6067,69.91,41,0,0.0,clear sky
343,Talnakh,RU,69.4865,88.3972,29.21,75,29,1.81,scattered clouds
